Displacement_(mm),Force_(kN)
-21.3571,10.2718
-21.3506,10.275
-21.3278,10.2718
-21.3116,10.2945
-21.3084,10.3042
-21.3019,10.3075
-21.2532,10.301
-21.2564,10.3107
-21.1688,10.2945
-21.211,10.3107
-21.2175,10.3075
-21.2012,10.3269
-21.185,10.3399
-21.1818,10.3497
-21.1623,10.3464
-21.1461,10.3627
-21.1103,10.3659
-21.1201,10.3659
-21.0941,10.3919
-21.0746,10.3692
-21.0811,10.3692
-21.0552,10.3756
-21.0422,10.3984
-21.0324,10.4114
-21.0162,10.4049
-21.0032,10.4178
-20.9837,10.4308
-20.9708,10.4276
-20.9448,10.4243
-20.9383,10.4503
-20.9253,10.4276
-20.9188,10.4503
-20.8863,10.4698
-20.8766,10.4536
-20.8604,10.473
-20.8669,10.473
-20.8344,10.4763
-20.8214,10.4698
-20.8117,10.4763
-20.8019,10.4958
-20.789,10.4958
-20.7825,10.4893
-20.7565,10.4958
-20.7338,10.5087
-20.7273,10.5087
-20.7078,10.5217
-20.6948,10.5185
-20.6948,10.5217
-20.6461,10.5315
-20.6624,10.5477
-20.6429,10.5347
-20.6169,10.5445
-20.6169,10.5477
-20.5877,10.5509
-20.5812,10.5445
-20.5552,10.5704
-20.5487,10.5737
-20.539,10.5672
-20.5293,10.5769
-20.513,10.5769
-20.5033,10.5899
-20.4773,10.6094
-20.4676,10.6061
-20.4481,10.6191
-20.4449,10.6094
-20.4286,10.6094
-20.4319,10.6159
-20.3669,10.6353
-20.3734,10.6353
-20.3767,10.6159
-20.3572,10.6321
-20.3345,10.6386
-20.3215,10.6451
-20.315,10.6483
-20.3053,10.6483
-20.2858,10.6613
-20.276,10.6711
-20.2631,10.6678
-20.2403,10.6743
-20.2436,10.6743
-20.2209,10.6743
-20.2014,10.6905
-20.1787,10.697
-20.1689,10.7165
-20.1462,10.697
-20.1429,10.7133
-20.1137,10.71
-20.1072,10.7068
-20.0813,10.7035
-20.078,10.7003
-20.0553,10.7198
-20.0326,10.7425
-20.0391,10.7425
-20.0066,10.723
-20.0034,10.7425
-20.0034,10.7425
-19.9676,10.7457
-19.9579,10.7587
-19.9514,10.762
-19.9482,10.7717
-19.9189,10.7814
-19.906,10.7847
-19.8832,10.7847
-19.8832,10.7944
-19.8605,10.7782
-19.8508,10.7847
-19.8378,10.7912
-19.8216,10.8139
-19.7956,10.8204
-19.7923,10.7912
-19.7534,10.8139
-19.7664,10.7912
-19.7534,10.8074
-19.7372,10.8139
-19.7307,10.8236
-19.6787,10.8366
-19.6917,10.8334
-19.6463,10.8431
-19.6592,10.8691
-19.643,10.8626
-19.6203,10.8496
-19.6203,10.8464
-19.5976,10.8626
-19.5943,10.8431
-19.5683,10.8821
-19.5683,10.8496
-19.5521,10.8723
-19.5456,10.8821
-19.5261,10.8821
-19.5034,10.8723
-19.4839,10.8918
-19.4904,10.9048
-19.4677,10.8886
-19.4677,10.9113
-19.4385,10.9048
-19.4223,10.8886
-19.406,10.9145
-19.3995,10.908
-19.3671,10.9145
-19.3638,10.9145
-19.3508,10.9145
-19.3508,10.934
-19.3184,10.9308
-19.3119,10.9502
-19.2794,10.9502
-19.2664,10.9405
-19.2599,10.947
-19.2567,10.9502
-19.2437,10.9567
-19.2372,10.9665
-19.2048,10.9827
-19.1853,10.9665
-19.1593,10.986
-19.1788,10.9567
-19.1431,10.9795
-19.1398,10.9567
-19.1139,10.9762
-19.1139,10.9795
-19.0944,10.986
-19.0846,10.9924
-19.0717,10.9827
-19.0554,10.9827
-19.0327,11.0087
-19.0165,11.0119
-18.9938,11.0022
-18.997,11.0054
-18.997,11.0249
-18.9775,11.0282
-18.9386,11.0022
-18.9321,11.0379
-18.9126,11.0249
-18.8964,11.0444
-18.8899,11.0411
-18.8671,11.0314
-18.8607,11.0509
-18.8412,11.0476
-18.8282,11.0704
-18.8152,11.0671
-18.7925,11.0736
-18.773,11.0574
-18.7568,11.0704
-18.76,11.0671
-18.7405,11.0736
-18.7276,11.0931
-18.7211,11.0963
-18.6983,11.0574
-18.6821,11.0898
-18.6821,11.0898
-18.6561,11.0931
-18.6237,11.1093
-18.6302,11.0963
-18.6204,11.119
-18.6107,11.1093
-18.588,11.0963
-18.575,11.1126
-18.5523,11.1158
-18.5523,11.132
-18.5295,11.1288
-18.5198,11.119
-18.5036,11.1418
-18.4971,11.1288
-18.4711,11.119
-18.4614,11.1385
-18.4549,11.145
-18.4386,11.145
-18.4062,11.158
-18.4062,11.1613
-18.4029,11.1483
-18.3607,11.1905
-18.3445,11.1677
-18.338,11.1515
-18.338,11.1515
-18.3088,11.1515
-18.299,11.1548
-18.2828,11.171
-18.2763,11.1677
-18.2633,11.1677
-18.2568,11.1742
-18.2406,11.1905
-18.2049,11.197
-18.2017,11.1872
-18.1822,11.2002
-18.1627,11.1937
-18.1465,11.2099
-18.1594,11.1905
-18.1205,11.2035
-18.1237,11.2197
-18.1108,11.2002
-18.0945,11.2002
-18.0686,11.2099
-18.0621,11.2164
-18.0458,11.2164
-18.0296,11.2197
-18.0199,11.2359
-17.9971,11.2294
-17.9841,11.2262
-17.9777,11.2327
-17.9614,11.2392
-17.9452,11.2359
-17.9225,11.2521
-17.9355,11.2392
-17.89,11.2554
-17.89,11.2294
-17.877,11.2359
-17.864,11.2294
-17.8575,11.2619
-17.8316,11.2424
-17.8316,11.2586
-17.8088,11.2554
-17.7894,11.2554
-17.7602,11.2586
-17.7504,11.2684
-17.7472,11.2814
-17.7407,11.2749
-17.7212,11.2814
-17.7017,11.2749
-17.692,11.3041
-17.666,11.2749
-17.653,11.2944
-17.6368,11.2879
-17.6303,11.2814
-17.6141,11.2976
-17.6011,11.3041
-17.5816,11.3008
-17.5654,11.2976
-17.5589,11.2749
-17.5329,11.2911
-17.5524,11.3041
-17.5232,11.2944
-17.5004,11.2976
-17.4777,11.3106
-17.4712,11.3138
-17.4518,11.3236
-17.4388,11.3106
-17.429,11.3171
-17.4225,11.3073
-17.416,11.3203
-17.3771,11.3398
-17.3641,11.3268
-17.3511,11.3333
-17.3544,11.3268
-17.3414,11.343
-17.3219,11.3398
-17.3122,11.3366
-17.2797,11.3625
-17.27,11.3463
-17.244,11.3398
-17.2342,11.3658
-17.2148,11.356
-17.2213,11.3593
-17.1985,11.3495
-17.1823,11.369
-17.1661,11.3755
-17.1596,11.3593
-17.1304,11.3788
-17.1336,11.3788
-17.1304,11.395
-17.0849,11.395
-17.0947,11.3852
-17.0654,11.3852
-17.0654,11.3885
-17.046,11.3917
