Displacement_(mm),Force_(kN)
-22.3829,-0.0061
-22.3699,0.0102
-22.3829,0.0134
-22.3699,0.0134
-22.3667,0.0134
-22.3667,0.0069
-22.3797,0.0296
-22.3732,0.1335
-22.3602,0.3315
-22.3537,0.5166
-22.3375,0.6237
-22.318,0.8152
-22.3212,0.9419
-22.3082,1.1172
-22.3277,1.2308
-22.318,1.4937
-22.305,1.5781
-22.292,1.7469
-22.2888,1.8703
-22.2725,2.0618
-22.2628,2.1917
-22.2563,2.3865
-22.2466,2.617
-22.253,2.7306
-22.2401,2.9091
-22.2271,3.0292
-22.2206,3.1916
-22.2108,3.3214
-22.2044,3.5032
-22.1946,3.646
-22.2011,3.8116
-22.1849,3.9155
-22.1784,4.1038
-22.1751,4.2239
-22.1621,4.3829
-22.1557,4.4966
-22.1459,4.6686
-22.1589,4.792
-22.1362,4.9511
-22.1394,5.0712
-22.1232,5.24
-22.1167,5.3406
-22.1037,5.5224
-22.0907,5.636
-22.0972,5.8081
-22.0875,5.9152
-22.0713,6.11
-22.0518,6.2204
-22.0713,6.3762
-22.0615,6.4898
-22.0518,6.6359
-22.0485,6.7625
-22.0291,6.9183
-22.0355,7.006
-22.0193,7.1358
-22.0096,7.2527
-22.0096,7.3923
-22.0096,7.454
-21.9998,7.5611
-21.9836,7.6228
-21.9836,7.7234
-21.9836,7.7916
-21.9511,7.8695
-21.9446,7.9052
-21.9349,7.9864
-21.9382,8.0253
-21.9317,8.087
-21.9187,8.1195
-21.9089,8.1941
-21.9089,8.2266
-21.9089,8.2655
-21.896,8.311
-21.8992,8.3402
-21.883,8.3921
-21.8797,8.4181
-21.8765,8.4343
-21.87,8.4538
-21.8732,8.4863
-21.8667,8.522
-21.857,8.5285
-21.844,8.5739
-21.831,8.5707
-21.8278,8.6096
-21.8278,8.6064
-21.8115,8.6519
-21.8018,8.6681
-21.7986,8.6973
-21.7921,8.72
-21.7791,8.7103
-21.7758,8.7135
-21.7661,8.7557
-21.7823,8.7655
-21.7758,8.7914
-21.7369,8.8012
-21.7369,8.8142
-21.7369,8.8012
-21.7142,8.8401
-21.7142,8.8564
-21.7109,8.8726
-21.7109,8.8661
-21.6849,8.8823
-21.6882,8.8758
-21.6817,8.9116
-21.6849,8.9116
-21.672,8.918
-21.6525,8.9408
-21.6525,8.944
-21.6492,8.9603
-21.6427,8.944
-21.633,8.9797
-21.6038,8.9667
-21.6168,8.9895
-21.607,9.0154
-21.6103,9.0154
-21.5876,9.0187
-21.594,9.0284
-21.5778,9.0382
-21.5648,9.0479
-21.5648,9.0576
-21.5583,9.0771
-21.5194,9.0706
-21.5226,9.0836
-21.5161,9.1161
-21.4869,9.1291
-21.4707,9.1258
-21.4609,9.168
-21.4415,9.168
-21.4252,9.1745
-21.4058,9.2037
-21.3928,9.2135
-21.4025,9.2135
-21.383,9.2329
-21.3603,9.2459
-21.3278,9.2557
-21.3311,9.2654
-21.3084,9.3011
-21.2954,9.2946
-21.2759,9.3076
-21.2564,9.3206
-21.2629,9.3271
