Displacement_(mm),Force_(kN)
-21.237,9.3466
-21.211,9.3628
-21.2142,9.3595
-21.185,9.3888
-21.185,9.3823
-21.1623,9.392
-21.1525,9.3985
-21.1396,9.4147
-21.1331,9.4147
-21.1136,9.4407
-21.1103,9.4472
-21.0876,9.444
-21.0649,9.4602
-21.0519,9.4667
-21.0454,9.5056
-21.0259,9.5056
-21.0032,9.4991
-20.9902,9.5251
-20.9805,9.5316
-20.9837,9.5186
-20.9513,9.5316
-20.9415,9.5381
-20.935,9.5446
-20.9058,9.5641
-20.8961,9.5933
-20.8766,9.6095
-20.8604,9.59
-20.8604,9.5933
-20.8409,9.616
-20.8149,9.6257
-20.8117,9.629
-20.8052,9.6322
-20.7727,9.6712
-20.7662,9.6809
-20.7435,9.655
-20.7338,9.6842
-20.711,9.7037
-20.6981,9.6972
-20.6981,9.7101
-20.6818,9.7199
-20.6688,9.7134
-20.6526,9.7394
-20.6396,9.7524
-20.6137,9.7459
-20.6169,9.7686
-20.5974,9.7653
-20.5844,9.7751
-20.5617,9.8043
-20.5422,9.814
-20.539,9.7848
-20.5195,9.8108
-20.5,9.814
-20.4871,9.827
-20.4708,9.8335
-20.4773,9.8562
-20.4513,9.8595
-20.4319,9.866
-20.4286,9.8725
-20.4026,9.8725
-20.3929,9.8919
-20.3799,9.879
-20.3507,9.9277
-20.3377,9.8919
-20.354,9.9244
-20.3118,9.9212
-20.3085,9.9277
-20.2923,9.9536
-20.276,9.9374
-20.2436,9.9666
-20.2403,9.9731
-20.2338,9.9569
-20.2176,9.9763
-20.1949,9.9893
-20.1851,9.9958
-20.1689,9.9926
-20.1592,10.0121
-20.1462,10.0153
-20.1462,10.0348
-20.1105,10.0185
-20.104,10.0413
-20.0975,10.0543
-20.0813,10.0672
-20.0553,10.0672
-20.0488,10.0997
-20.0358,10.0672
-20.0131,10.103
-20.0098,10.0997
-19.9936,10.0802
-19.9839,10.1159
-19.9579,10.1419
-19.9482,10.1289
-19.9319,10.1452
-19.9254,10.1549
-19.8995,10.1516
-19.88,10.1614
-19.8735,10.1516
-19.867,10.1906
-19.8638,10.1646
-19.8281,10.1874
-19.8086,10.1938
-19.8053,10.2198
-19.7923,10.2133
-19.7794,10.2263
-19.7566,10.2361
-19.7469,10.2198
-19.7209,10.275
-19.7047,10.249
-19.7177,10.249
-19.6852,10.2523
-19.6787,10.2458
-19.6657,10.2945
-19.6463,10.275
-19.6333,10.2783
-19.6203,10.3042
-19.5878,10.3107
-19.5813,10.3107
-19.5748,10.3237
-19.5554,10.3172
-19.5586,10.3237
-19.5326,10.3269
-19.5197,10.3464
-19.4937,10.3464
-19.4839,10.3562
-19.4742,10.3562
-19.458,10.3756
-19.458,10.3529
-19.445,10.3789
-19.4028,10.3854
-19.4028,10.3984
-19.3801,10.4016
-19.3736,10.4114
-19.3606,10.4178
-19.3606,10.3919
-19.3151,10.4243
-19.3119,10.4438
-19.2859,10.4568
-19.2794,10.4568
-19.2729,10.4536
-19.2599,10.46
-19.2372,10.4633
-19.234,10.4665
-19.2275,10.4925
-19.1918,10.4925
-19.1885,10.499
-19.1658,10.5087
-19.1496,10.4925
-19.1398,10.512
-19.1171,10.5185
-19.1171,10.5055
-19.0976,10.525
-19.0911,10.5315
-19.0587,10.5445
-19.0554,10.5412
-19.0295,10.5347
-19.0327,10.5607
-19.0035,10.5672
-19.0002,10.5867
-18.9743,10.5704
-18.9613,10.5867
-18.9548,10.5931
-18.9451,10.5899
-18.9288,10.5899
-18.9158,10.6029
-18.8899,10.5931
-18.8736,10.6159
-18.8671,10.6256
-18.8542,10.6353
-18.8509,10.6418
-18.8152,10.6483
-18.8055,10.6483
-18.786,10.6516
-18.7925,10.6483
-18.7665,10.6678
-18.7535,10.6743
-18.7405,10.6711
-18.7243,10.6808
-18.7048,10.6808
-18.7113,10.697
-18.7016,10.7003
-18.6724,10.7035
-18.6626,10.6905
-18.6367,10.723
-18.6237,10.71
-18.5977,10.7392
-18.588,10.7133
-18.5847,10.7198
-18.5587,10.7198
-18.549,10.7522
-18.536,10.7457
-18.5263,10.7457
-18.4743,10.762
-18.4938,10.7684
-18.4743,10.7684
-18.4614,10.7652
-18.4549,10.7879
-18.4386,10.7814
-18.4192,10.7977
-18.4159,10.7912
-18.3932,10.8139
-18.3737,10.7814
-18.3607,10.8009
-18.351,10.7912
-18.351,10.8074
-18.3218,10.8171
-18.2958,10.8301
-18.2925,10.8236
-18.2893,10.8496
-18.2666,10.8334
-18.2471,10.8593
-18.2374,10.8496
-18.2244,10.8464
-18.2114,10.8756
-18.1854,10.8756
-18.1724,10.8723
-18.1562,10.8626
-18.1432,10.8788
-18.1367,10.8821
-18.1172,10.9015
-18.1043,10.8951
-18.0913,10.921
-18.075,10.8983
-18.0783,10.9113
-18.0621,10.908
-18.0328,10.921
-18.0296,10.9048
-18.0004,10.9145
-17.9777,10.947
-17.9777,10.9373
-17.9452,10.9437
-17.9582,10.9502
-17.929,10.96
-17.9257,10.9665
-17.8965,10.9567
-17.8868,10.96
-17.8803,10.9697
-17.864,10.9632
-17.8478,10.9762
-17.8283,10.9762
-17.8186,10.9892
-17.7991,10.9632
-17.7894,10.9795
-17.7861,10.9762
-17.7634,11.0054
-17.7342,11.0249
-17.7277,11.0087
-17.7115,11.0054
-17.705,11.0249
-17.6887,11.0087
-17.6822,11.0087
-17.6628,11.0346
-17.6498,11.0346
-17.64,11.0444
-17.6173,11.0476
-17.6011,11.0736
-17.5784,11.0606
-17.5784,11.0704
-17.5589,11.0736
-17.5459,11.0704
-17.5426,11.0671
-17.5134,11.0866
-17.481,11.0833
-17.4842,11.0996
-17.468,11.0963
-17.4453,11.0866
-17.4453,11.1093
-17.4128,11.1028
-17.4031,11.119
-17.3998,11.1093
-17.3771,11.1288
-17.3641,11.1353
-17.3479,11.1353
-17.3187,11.119
-17.3446,11.1515
-17.3024,11.1223
-17.2992,11.1548
-17.2765,11.1385
-17.2602,11.1548
-17.257,11.1645
-17.2375,11.1483
-17.2342,11.1645
-17.2115,11.1742
-17.1856,11.1645
-17.1823,11.1775
-17.1531,11.1775
-17.1498,11.1872
-17.1369,11.184
-17.1304,11.2132
-17.1109,11.197
-17.0979,11.1807
-17.0817,11.2035
-17.0589,11.197
-17.0654,11.2002
-17.033,11.1937
-17.0232,11.2164
-16.9843,11.2099
-16.981,11.2197
-16.994,11.2359
-16.9648,11.2262
-16.9453,11.2262
-16.9291,11.2197
-16.9194,11.2359
-16.9031,11.2359
-16.8836,11.2424
-16.8901,11.2457
-16.8609,11.2554
-16.8674,11.2749
-16.8447,11.2684
-16.822,11.2521
-16.809,11.2781
-16.7895,11.2846
-16.7765,11.2684
-16.7473,11.2781
-16.7408,11.2846
-16.7408,11.2879
-16.7311,11.2716
-16.6986,11.2846
-16.6921,11.2749
-16.6889,11.2976
-16.6661,11.3041
-16.6499,11.3008
-16.6369,11.2944
-16.611,11.3073
-16.6045,11.3073
-16.5817,11.3203
-16.5655,11.3301
-16.5623,11.3268
-16.5363,11.3203
-16.5363,11.3301
-16.5006,11.3366
-16.5103,11.3301
-16.4941,11.343
-16.4519,11.3463
-16.4649,11.3528
-16.4486,11.3463
-16.4454,11.356
-16.3999,11.3593
-16.4129,11.3463
-16.387,11.3528
-16.3772,11.3755
-16.348,11.395
-16.3415,11.369
-16.3318,11.3723
-16.3155,11.3723
-16.3058,11.3917
-16.2863,11.3755
-16.2831,11.3917
-16.2539,11.4047
-16.2474,11.3982
-16.2279,11.395
-16.2182,11.395
-16.2117,11.4112
-16.1792,11.3917
-16.1695,11.408
-16.1597,11.395
-16.15,11.4112
-16.124,11.4177
-16.1175,11.4112
-16.1013,11.421
-16.098,11.408
-16.0786,11.4242
-16.0623,11.4372
-16.0396,11.4339
-16.0364,11.4177
-16.0136,11.4437
-15.9617,11.4599
-15.9844,11.4339
-15.9779,11.4534
-15.9584,11.4469
-15.9584,11.4664
-15.9292,11.4469
-15.9195,11.4534
-15.9065,11.4534
-15.8903,11.4599
-15.8708,11.4664
-15.8546,11.4469
-15.8383,11.4794
-15.8286,11.4632
-15.8286,11.4761
-15.7961,11.4729
-15.7864,11.4891
-15.7702,11.4924
-15.7572,11.4794
-15.7409,11.4924
-15.728,11.5054
-15.715,11.4924
-15.6793,11.4924
-15.6728,11.5281
-15.6695,11.5054
-15.65,11.4924
-15.6371,11.5021
-15.6111,11.4989
-15.6046,11.5054
-15.5949,11.4956
-15.5754,11.5054
-15.5721,11.5151
-15.5559,11.5313
-15.5397,11.5151
-15.5072,11.5151
-15.5072,11.5378
-15.491,11.5411
-15.4683,11.5248
-15.478,11.5443
-15.4488,11.5378
-15.4293,11.5508
-15.4163,11.5605
-15.3806,11.5378
-15.3806,11.5508
-15.3871,11.5508
-15.3579,11.5703
-15.3416,11.5378
-15.3384,11.5508
-15.3254,11.5378
-15.3124,11.5605
-15.2962,11.5508
-15.2735,11.5865
-15.267,11.5703
-15.2508,11.5703
-15.241,11.5865
-15.228,11.593
-15.1988,11.5833
-15.1923,11.5768
-15.1858,11.5833
-15.1566,11.58
-15.1469,11.5833
-15.1339,11.5995
-15.1241,11.5995
-15.1047,11.5995
-15.0949,11.6028
-15.0787,11.6028
-15.0657,11.5963
-15.056,11.5898
-15.03,11.6092
-15.0235,11.5995
-15.0008,11.632
-14.9878,11.6125
-14.9716,11.6287
-14.9586,11.6157
-14.9456,11.619
-14.9424,11.5995
-14.9261,11.6222
-14.8937,11.632
-14.8969,11.6222
-14.8807,11.619
-14.8709,11.6417
-14.845,11.6482
-14.8352,11.632
-14.8125,11.6287
-14.7995,11.6385
-14.7963,11.6287
-14.7671,11.6287
-14.7735,11.6417
-14.7411,11.6417
-14.7313,11.6417
-14.7216,11.6644
-14.7021,11.6417
-14.6989,11.6482
-14.6632,11.6677
-14.6567,11.6677
-14.634,11.6514
-14.6404,11.6514
-14.6145,11.6936
-14.5918,11.6709
-14.6015,11.6547
-14.569,11.6839
-14.5625,11.6742
-14.5236,11.6677
-14.5171,11.6709
-14.5106,11.6547
-14.5041,11.6677
-14.4781,11.6644
-14.4684,11.7066
-14.4587,11.6969
-14.4165,11.7001
-14.4197,11.6839
-14.4002,11.6904
-14.3807,11.6936
-14.4002,11.6936
-14.358,11.6839
-14.3548,11.7034
-14.345,11.7099
-14.3288,11.7131
-14.3093,11.6872
-14.3061,11.7066
-14.2769,11.7066
-14.2639,11.7034
-14.2541,11.7164
-14.2444,11.6904
-14.2347,11.6969
-14.2217,11.7164
-14.2087,11.7099
-14.1925,11.7034
-14.173,11.7164
-14.147,11.7261
-14.1373,11.7131
-14.1275,11.7294
-14.1145,11.7294
-14.1016,11.7358
-14.0756,11.7131
-14.0658,11.7196
-14.0561,11.7391
-14.0334,11.7131
-14.0204,11.7164
-14.0074,11.7261
-14.0009,11.7358
-13.9879,11.7196
-13.9814,11.7326
-13.9522,11.7423
-13.9587,11.7358
-13.9198,11.7294
-13.9035,11.7456
-13.897,11.7521
-13.8808,11.7586
-13.8646,11.7456
-13.8516,11.7586
-13.8386,11.7553
-13.8256,11.7586
-13.8029,11.7553
-13.7867,11.7651
-13.7737,11.7586
-13.751,11.7488
-13.7477,11.7618
-13.7347,11.7586
-13.7185,11.7391
-13.7282,11.7488
-13.7055,11.7748
-13.673,11.7553
-13.673,11.7618
-13.6438,11.7586
-13.6503,11.7813
-13.6179,11.8008
-13.6016,11.7781
-13.5951,11.7878
-13.5789,11.7683
-13.5562,11.7488
-13.5594,11.7878
-13.5399,11.7845
-13.5237,11.7845
-13.5107,11.7975
-13.5107,11.7975
-13.488,11.791
-13.4588,11.8073
-13.4523,11.8073
-13.4296,11.7781
-13.4068,11.8073
-13.4101,11.791
-13.3874,11.791
-13.3809,11.8073
-13.3646,11.8073
-13.3484,11.8138
-13.3289,11.8073
-13.3127,11.7975
-13.3095,11.8138
-13.2867,11.817
-13.2673,11.804
-13.2705,11.817
-13.238,11.83
-13.2251,11.8138
-13.2121,11.8073
-13.2056,11.8073
-13.2121,11.8008
-13.1731,11.804
-13.1439,11.8105
-13.1406,11.8008
-13.1277,11.8235
-13.1114,11.8332
-13.0984,11.8365
-13.0984,11.8138
-13.066,11.83
-13.066,11.8105
-13.0562,11.817
-13.0433,11.8203
-13.027,11.8267
-13.0043,11.843
-12.9881,11.8332
-12.9653,11.83
-12.9653,11.8397
-12.9459,11.8267
-12.9329,11.8267
-12.9069,11.8332
-12.8972,11.8365
-12.8907,11.817
-12.8745,11.8365
-12.855,11.83
-12.8355,11.8495
-12.8225,11.8495
-12.8193,11.8397
-12.7933,11.843
-12.7803,11.8462
-12.7771,11.8754
-12.7641,11.8495
-12.7446,11.843
-12.7349,11.8657
-12.7186,11.843
-12.7024,11.8625
-12.6959,11.8462
-12.6634,11.8495
-12.6537,11.8495
-12.6342,11.8495
-12.631,11.856
-12.605,11.8592
-12.592,11.856
-12.5888,11.856
-12.5758,11.8462
-12.5563,11.8657
-12.5239,11.8722
-12.5368,11.8657
-12.5174,11.8657
-12.4946,11.8722
-12.4979,11.8689
-12.4784,11.8689
-12.4557,11.8495
-12.4459,11.856
-12.433,11.8787
-12.4102,11.8689
-12.3908,11.8754
-12.381,11.8722
-12.368,11.8819
-12.368,11.8722
-12.3421,11.8657
-12.3323,11.8657
-12.3063,11.8884
-12.3161,11.8819
-12.2869,11.8787
-12.2771,11.8982
-12.2544,11.8787
-12.2414,11.8819
-12.2187,11.8754
-12.2122,11.8852
-12.209,11.856
-12.183,11.8852
-12.183,11.8917
-12.1603,11.8949
-12.1538,11.8852
-12.1213,11.9014
-12.1181,11.8949
-12.1018,11.8625
-12.0791,11.8852
-12.0596,11.8884
-12.0694,11.8852
-12.0531,11.9014
-12.0239,11.8949
-12.0207,11.8982
-12.0044,11.8917
-12.0077,11.9112
-11.9785,11.8884
-11.9493,11.8982
-11.9525,11.8949
-11.9428,11.9047
-11.9428,11.8917
-11.9103,11.9047
-11.8908,11.9014
-11.8778,11.9144
-11.8616,11.9079
-11.8454,11.9014
-11.8324,11.8787
-11.8324,11.9176
-11.8129,11.8917
-11.7902,11.9112
-11.7675,11.9144
-11.7577,11.9241
-11.735,11.9047
-11.7253,11.9112
-11.6993,11.9501
-11.7025,11.9079
-11.6863,11.9176
-11.6668,11.9144
-11.6473,11.9176
-11.6473,11.9112
-11.6376,11.9079
-11.6246,11.9079
-11.5954,11.9144
-11.5857,11.9112
-11.5922,11.9209
-11.5564,11.9047
-11.537,11.9176
-11.5305,11.9079
-11.5175,11.9241
-11.5045,11.9112
-11.4915,11.9144
-11.4818,11.9371
-11.4526,11.9176
-11.4396,11.9241
-11.4396,11.9339
-11.4136,11.9404
-11.3941,11.9144
-11.3779,11.9241
-11.3779,11.9274
-11.3682,11.9339
-11.3422,11.9274
-11.3325,11.9274
-11.313,11.9241
-11.2935,11.9241
-11.2967,11.9371
-11.2675,11.9436
-11.2578,11.9209
-11.248,11.9274
-11.2318,11.9176
-11.2091,11.9339
-11.1961,11.9274
-11.1864,11.9469
-11.1734,11.9469
-11.1474,11.9436
-11.1442,11.9469
-11.1344,11.9371
-11.115,11.9339
-11.089,11.9306
-11.089,11.9209
-11.0792,11.9241
-11.0533,11.9339
-11.0435,11.9371
-11.0176,11.9241
-11.0078,11.9469
-10.9981,11.9371
-10.9754,11.9209
-10.9721,11.9469
-10.9494,11.9274
-10.9332,11.9469
-10.8974,11.9404
-10.8974,11.9371
-10.9007,11.9436
-10.8845,11.9404
-10.8682,11.9404
-10.8715,11.9371
-10.8423,11.9501
-10.8358,11.9469
-10.8098,11.9371
-10.8163,11.9436
-10.7773,11.9566
-10.7806,11.9436
-10.7643,11.9371
-10.7384,11.9274
-10.7351,11.9469
-10.7189,11.9274
-10.6962,11.9241
-10.6799,11.9469
-10.6767,11.9566
-10.6475,11.9339
-10.6475,11.9534
-10.6345,11.9501
-10.615,11.9371
-10.6053,11.9469
-10.5858,11.9436
-10.5826,11.9728
-10.5631,11.9371
-10.5339,11.9469
-10.5339,11.9436
-10.5176,11.9469
-10.5014,11.9469
-10.4657,11.9469
-10.4722,11.9274
-10.4592,11.9112
-10.4397,11.9534
-10.43,11.9566
-10.4137,11.9436
-10.3943,11.9534
-10.3748,11.9436
-10.3715,11.9598
-10.3586,11.9469
-10.3423,11.9534
-10.3261,11.9566
-10.3131,11.9436
-10.3066,11.9501
-10.2742,11.9404
-10.2742,11.9501
-10.2547,11.9598
-10.2417,11.9566
-10.2157,11.9274
-10.206,11.9501
-10.2027,11.9631
-10.1735,11.9469
-10.167,11.9501
-10.1476,11.9534
-10.1443,11.9339
-10.1151,11.9663
-10.1118,11.9534
-10.0989,11.9501
-10.0761,11.9631
-10.0437,11.9534
-10.0534,11.9631
-10.0469,11.9371
-10.0209,11.9534
-9.995,11.9534
-9.982,11.9631
-9.9852,11.9598
-9.9658,11.9663
-9.9495,11.9631
-9.9398,11.9598
-9.9236,11.9566
-9.9041,11.9566
-9.8943,11.9534
-9.8586,11.9534
-9.8521,11.9501
-9.8456,11.9501
-9.8359,11.9306
-9.8229,11.9631
-9.8197,11.9534
-9.784,11.9598
-9.7645,11.9663
-9.7612,11.9598
-9.7418,11.9534
-9.7158,11.9534
-9.719,11.9404
-9.6963,11.9501
-9.6866,11.9436
-9.6736,11.9436
-9.6541,11.9598
-9.6476,11.9404
-9.6249,11.9436
-9.6346,11.9534
-9.6022,11.9469
-9.5827,11.9469
-9.573,11.9501
-9.5665,11.9501
-9.5437,11.9598
-9.5308,11.9566
-9.508,11.9534
-9.495,11.9436
-9.4691,11.9404
-9.4853,11.9501
-9.4431,11.9598
-9.4431,11.9404
-9.4236,11.9501
-9.3944,11.9404
-9.3814,11.9404
-9.3879,11.9371
-9.3587,11.9501
-9.3327,11.9469
-9.336,11.9501
-9.3197,11.9371
-9.297,11.9404
-9.2873,11.9339
-9.2808,11.9436
-9.2678,11.9306
-9.2483,11.9404
-9.2288,11.9371
-9.2256,11.9241
-9.1899,11.9371
-9.1866,11.9274
-9.1704,11.9404
-9.1509,11.9144
-9.1379,11.9404
-9.1315,11.9209
-9.1217,11.9274
-9.1152,11.9144
-9.0665,11.9306
-9.0535,11.9404
-9.0503,11.9241
-9.0503,11.9274
-9.0308,11.9274
-9.0178,11.9306
-8.9984,11.9241
-8.9919,11.9144
-8.9626,11.9144
-8.9626,11.9339
-8.9269,11.9176
-8.9237,11.8982
-8.914,11.9014
-8.888,11.9241
-8.875,11.9079
-8.8685,11.9112
-8.8393,11.8982
-8.8425,11.8884
-8.8166,11.8884
-8.8101,11.8982
-8.7971,11.9014
-8.7873,11.8917
-8.7679,11.8852
-8.7549,11.8884
-8.7354,11.8689
-8.7224,11.8852
-8.7127,11.8819
-8.7094,11.8754
-8.6867,11.8787
-8.6672,11.856
-8.6478,11.8625
-8.6413,11.8592
-8.6218,11.856
-8.6023,11.8495
-8.6056,11.8462
-8.5926,11.8592
-8.5601,11.8397
-8.5504,11.8462
-8.5309,11.8332
-8.5179,11.8332
-8.5147,11.843
-8.4984,11.8332
-8.4789,11.817
-8.4497,11.817
-8.4692,11.804
-8.4432,11.8138
-8.4335,11.8008
-8.3978,11.817
-8.3945,11.8008
-8.3816,11.7845
-8.3621,11.7781
-8.3491,11.791
-8.3394,11.7683
-8.3296,11.7716
-8.3134,11.7716
-8.2939,11.7488
-8.2744,11.7326
-8.2647,11.7391
-8.2582,11.7099
-8.2387,11.7261
-8.2355,11.7066
-8.2063,11.6936
-8.2095,11.7034
-8.1738,11.6742
-8.1543,11.6644
-8.1478,11.6709
-8.1348,11.6547
-8.0991,11.6385
-8.1056,11.6255
-8.0829,11.6222
-8.0732,11.5898
-8.0504,11.593
-8.0342,11.5865
-8.0407,11.58
-8.018,11.5605
-8.0082,11.5443
-7.9888,11.5183
-7.979,11.5119
-7.9498,11.5119
-7.9433,11.4989
-7.9238,11.4632
-7.9206,11.4534
-7.9043,11.4437
-7.8816,11.421
-7.8751,11.3852
-7.8459,11.395
-7.8492,11.356
-7.8297,11.3398
-7.8167,11.3041
-7.8005,11.2749
-7.7842,11.2684
-7.7518,11.2586
-7.7615,11.2197
-7.7453,11.2035
-7.729,11.1677
-7.7193,11.1353
-7.7063,11.1126
-7.6901,11.0833
-7.6804,11.0574
-7.6641,11.0119
-7.6284,10.9632
-7.6382,10.9145
-7.6187,10.9015
-7.5992,10.8723
-7.5927,10.8042
-7.5765,10.7749
-7.5505,10.7068
-7.5602,10.6808
-7.531,10.6126
