Displacement_(mm),Force_(kN)
-24.7624,-0.0093
-24.7949,0.0361
-24.7754,0.0199
-24.7754,0.0231
-24.7852,0.0004
-24.7852,0.0167
-24.7754,0.1173
-24.7852,0.2926
-24.7657,0.4354
-24.7495,0.627
-24.7397,0.7471
-24.73,0.9419
-24.717,1.0685
-24.7267,1.234
-24.717,1.3736
-24.7138,1.5229
-24.7105,1.656
-24.704,1.8443
-24.6975,1.9839
-24.6845,2.1203
-24.6943,2.2371
-24.6813,2.4027
-24.6553,2.5488
-24.6488,2.7338
-24.6488,2.8604
-24.6456,3.0325
-24.6229,3.1558
-24.6326,3.3182
-24.6326,3.4513
-24.6099,3.6168
-24.6099,3.7207
-24.6034,3.883
-24.5871,4.0194
-24.5807,4.1687
-24.5709,4.3083
-24.5644,4.4738
-24.5449,4.5842
-24.5612,4.7595
-24.5547,4.8829
-24.5482,5.029
-24.5222,5.188
-24.5287,5.3568
-24.5287,5.464
-24.5157,5.649
-24.5027,5.7367
-24.4898,5.912
-24.493,6.0223
-24.4703,6.1749
-24.4703,6.3048
-24.4573,6.4573
-24.4573,6.5417
-24.4638,6.6976
-24.4476,6.7982
-24.4346,6.9118
-24.4281,7.006
-24.4248,7.1099
-24.4183,7.191
-24.4248,7.2787
-24.4021,7.3371
-24.4054,7.4312
-24.3924,7.4767
-24.3794,7.5481
-24.3729,7.5936
-24.3696,7.6487
-24.3631,7.6942
-24.3534,7.7429
-24.3534,7.7721
-24.3469,7.824
-24.3274,7.8338
-24.3274,7.889
-24.3274,7.902
-24.3145,7.9571
-24.308,7.9669
-24.2852,8.0123
-24.2982,8.0221
-24.2917,8.0643
-24.2755,8.087
-24.2625,8.1065
-24.2625,8.1324
-24.2593,8.1552
-24.2593,8.1649
-24.2398,8.2039
-24.243,8.2233
-24.2138,8.2461
-24.2236,8.285
-24.2138,8.3012
-24.2008,8.3142
-24.1878,8.3402
-24.1716,8.3759
-24.1878,8.3499
-24.1749,8.3857
-24.1619,8.4149
-24.1586,8.4084
-24.1521,8.4214
-24.1359,8.4538
-24.1359,8.4441
-24.1164,8.4798
-24.1197,8.483
-24.1229,8.4928
-24.1099,8.5025
-24.1067,8.5252
-24.1002,8.5252
-24.0807,8.5512
-24.0775,8.5545
-24.0645,8.561
-24.058,8.5804
-24.0677,8.5869
-24.045,8.5967
-24.045,8.6161
-24.032,8.6194
-24.032,8.6389
-24.0125,8.6356
-24.0093,8.6681
-23.9801,8.6843
-23.9736,8.7103
-23.9574,8.733
-23.9509,8.733
-23.9217,8.746
-23.9054,8.759
-23.9022,8.7622
-23.8762,8.7979
-23.8697,8.7947
-23.86,8.8304
-23.8275,8.8531
-23.8178,8.8466
-23.8178,8.8661
-23.7918,8.8629
-23.7853,8.8953
-23.7821,8.8953
-23.7528,8.9213
-23.7528,8.9245
-23.7463,8.9278
-23.7139,8.9603
-23.7009,8.9667
-23.6749,8.9538
-23.6684,8.983
-23.6522,8.9992
-23.649,9.0122
-23.6262,9.0252
-23.6165,9.0382
-23.6133,9.0349
-23.5873,9.0544
-23.571,9.0609
-23.5581,9.0739
-23.5418,9.0739
-23.5256,9.0966
-23.5159,9.1031
-23.4931,9.1031
-23.4834,9.1291
-23.4672,9.1485
-23.4509,9.1518
-23.4444,9.1648
-23.4444,9.1745
-23.4055,9.1778
-23.3957,9.1875
-23.3698,9.2005
-23.3633,9.2037
-23.3568,9.2232
-23.3471,9.2264
-23.3341,9.2589
-23.3146,9.2492
-23.3113,9.2622
-23.2724,9.2719
-23.2789,9.2719
-23.2659,9.2784
-23.2399,9.3076
-23.2204,9.2946
