Displacement_(mm),Force_(kN)
-23.2107,9.3271
-23.201,9.3303
-23.1685,9.3368
-23.1718,9.3433
-23.149,9.3531
-23.1425,9.3563
-23.1263,9.379
-23.1166,9.3628
-23.1036,9.3693
-23.1068,9.392
-23.0776,9.3823
-23.0549,9.4277
-23.0451,9.4147
-23.0322,9.4342
-23.0127,9.4407
-23.0192,9.4504
-22.9835,9.444
-22.9737,9.4602
-22.9672,9.4764
-22.9445,9.4862
-22.9348,9.4991
-22.912,9.5024
-22.9023,9.4991
-22.8926,9.5219
-22.8569,9.5348
-22.8569,9.5284
-22.8536,9.5446
-22.8147,9.5413
-22.8147,9.5706
-22.8049,9.5543
-22.7887,9.5673
-22.7595,9.5803
-22.753,9.5965
-22.74,9.5933
-22.7205,9.616
-22.6913,9.6387
-22.7108,9.6355
-22.6751,9.629
-22.6686,9.6322
-22.6523,9.6809
-22.6394,9.6712
-22.6199,9.6712
-22.6036,9.6809
-22.5874,9.6777
-22.5809,9.6972
-22.5744,9.6939
-22.542,9.7069
-22.542,9.7166
-22.516,9.7296
-22.516,9.7296
-22.5063,9.7199
-22.49,9.7588
-22.4705,9.7426
-22.4641,9.7556
-22.4413,9.7718
-22.4154,9.7783
-22.4056,9.7686
-22.4121,9.8075
-22.3829,9.7946
-22.3699,9.8043
-22.3504,9.8238
-22.3472,9.8335
-22.3375,9.8043
-22.3082,9.8335
-22.2952,9.8432
-22.279,9.8562
-22.2628,9.866
-22.2563,9.8757
-22.2433,9.8725
-22.2141,9.8692
-22.2044,9.8822
-22.1979,9.8887
-22.1784,9.9049
-22.1621,9.8919
-22.1394,9.9179
-22.1362,9.9082
-22.1199,9.9277
-22.1135,9.9471
-22.0875,9.9341
-22.094,9.9439
-22.0615,9.9666
-22.0485,9.9634
-22.0323,9.9666
-22.0226,9.9666
-22.0096,9.9731
-21.9868,9.9731
-21.9771,9.9893
-21.9446,10.0153
-21.9576,9.9893
-21.9414,10.0153
-21.9252,10.0283
-21.9252,10.025
-21.8992,10.0218
-21.8667,10.0413
-21.8505,10.0478
-21.8538,10.0478
-21.8408,10.0737
-21.8115,10.0575
-21.8115,10.0705
-21.7888,10.064
-21.7953,10.0932
-21.7629,10.077
-21.7564,10.1062
-21.7304,10.1127
-21.7239,10.1159
-21.7109,10.1192
-21.6979,10.1192
-21.672,10.1549
-21.6622,10.1419
-21.6557,10.1581
-21.6427,10.1581
-21.6135,10.1549
-21.607,10.1776
-21.5843,10.1711
-21.5746,10.1874
-21.5746,10.2036
-21.5518,10.1938
-21.5389,10.1841
-21.5259,10.2263
-21.5096,10.2133
-21.4902,10.2166
-21.4934,10.2133
-21.4545,10.2231
-21.4512,10.2912
-21.409,10.2555
-21.4285,10.2425
-21.4058,10.2718
-21.3863,10.2653
-21.3668,10.275
-21.3538,10.2783
-21.3603,10.2847
-21.3376,10.2847
-21.3084,10.2783
-21.2824,10.2945
-21.2856,10.2945
-21.2759,10.314
-21.2727,10.3237
-21.2434,10.3205
-21.2175,10.3367
-21.2077,10.314
-21.1915,10.3497
-21.1818,10.3237
-21.185,10.3529
-21.1623,10.3692
-21.1525,10.3562
-21.1201,10.3659
-21.1201,10.3692
-21.1039,10.3789
-21.0974,10.3756
-21.0649,10.4016
-21.0681,10.3919
-21.0454,10.4016
-21.0227,10.3886
-21.0032,10.4049
-21.0065,10.4114
-20.9935,10.4308
-20.9772,10.4146
-20.9643,10.4243
-20.9383,10.4308
-20.9415,10.4341
-20.9188,10.4568
-20.8993,10.4633
-20.8928,10.4633
-20.8799,10.473
-20.8571,10.46
-20.8441,10.4503
-20.8214,10.486
-20.8312,10.486
-20.7955,10.4925
-20.7922,10.4958
-20.7727,10.4828
-20.7662,10.512
-20.7435,10.5152
-20.7208,10.512
-20.7175,10.5087
-20.6981,10.5055
-20.6883,10.525
-20.6688,10.5412
-20.6624,10.5185
-20.6429,10.5542
-20.6266,10.5445
-20.6202,10.5542
-20.6072,10.5639
-20.5909,10.5477
-20.5909,10.5672
-20.552,10.5704
-20.5585,10.5867
-20.539,10.5704
-20.513,10.5899
-20.5065,10.5802
-20.4871,10.6061
-20.4806,10.5834
-20.4578,10.6126
-20.4481,10.6061
-20.4319,10.6191
-20.4091,10.6029
-20.3832,10.6451
-20.3864,10.6029
-20.3734,10.6256
-20.3637,10.6321
-20.3377,10.6386
-20.3312,10.6451
-20.3053,10.6289
-20.2955,10.6613
-20.2793,10.6581
-20.276,10.6646
-20.2631,10.6516
-20.2371,10.6808
-20.2338,10.6743
-20.1949,10.6776
-20.2079,10.7003
-20.1689,10.6938
-20.1819,10.6905
-20.1559,10.6938
-20.1429,10.7003
-20.1365,10.6938
-20.1105,10.6938
-20.104,10.723
-20.065,10.7198
-20.0715,10.7327
-20.0553,10.7295
-20.0391,10.736
-20.0293,10.7392
-20.0034,10.736
-20.0098,10.7295
-20.0034,10.7457
-19.9676,10.749
-19.9579,10.7522
-19.9352,10.749
-19.9319,10.7555
-19.9157,10.7652
-19.8962,10.7814
-19.8865,10.762
-19.88,10.7717
-19.8508,10.7717
-19.8378,10.7847
-19.8345,10.7977
-19.8151,10.7879
-19.8021,10.7977
-19.7826,10.8139
-19.7729,10.8139
-19.7599,10.8171
-19.7501,10.7977
-19.7339,10.8204
-19.7209,10.8009
-19.6852,10.8366
-19.6787,10.8042
-19.6722,10.8334
-19.656,10.8399
-19.6365,10.8204
-19.6203,10.8399
-19.6041,10.8334
-19.6073,10.8399
-19.5781,10.8366
-19.5683,10.8658
-19.5554,10.8626
-19.5554,10.8756
-19.5359,10.8723
-19.5132,10.8756
-19.4969,10.8788
-19.4937,10.9015
-19.471,10.8918
-19.471,10.8886
-19.4385,10.8756
-19.4352,10.8886
-19.4223,10.9015
-19.393,10.8983
-19.393,10.9178
-19.3768,10.8886
-19.3573,10.9178
-19.3379,10.908
-19.3346,10.9308
-19.3249,10.9113
-19.3086,10.9275
-19.2827,10.9308
-19.2632,10.9437
-19.2632,10.9275
-19.2372,10.9405
-19.221,10.9502
-19.2275,10.9437
-19.2015,10.9502
-19.1918,10.9697
-19.1755,10.9405
-19.1658,10.9535
-19.1366,10.947
-19.1398,10.973
-19.1139,10.9697
-19.1041,10.9762
-19.0944,10.9827
-19.0717,10.9502
-19.0749,10.9795
-19.0392,10.9697
-19.0197,10.9989
-19.023,10.9957
-18.997,10.9924
-18.9873,10.9957
-18.971,11.0119
-18.971,11.0087
-18.9451,11.0087
-18.9353,11.0054
-18.9191,11.0087
-18.9093,11.0022
-18.8834,11.0217
-18.8801,11.0282
-18.8671,11.0411
-18.8477,11.0411
-18.8249,11.0444
-18.8055,11.0574
-18.7957,11.0411
-18.7892,11.0509
-18.7698,11.0476
-18.773,11.0606
-18.7405,11.0509
-18.7178,11.0704
-18.7146,11.0801
-18.6951,11.0606
-18.6886,11.0736
-18.6789,11.0833
-18.6626,11.0671
-18.6399,11.0639
-18.6302,11.0898
-18.6172,11.0833
-18.6139,11.1158
-18.5815,11.0931
-18.549,11.1028
-18.5555,11.0996
-18.5328,11.0996
-18.5393,11.1061
-18.5165,11.1028
-18.4971,11.0833
-18.4906,11.1158
-18.4808,11.1255
-18.4516,11.1158
-18.4451,11.1255
-18.4192,11.132
-18.4094,11.1223
-18.3997,11.1288
-18.3737,11.1483
-18.3705,11.132
-18.3542,11.1353
-18.3347,11.145
-18.312,11.145
-18.325,11.1483
-18.2893,11.145
-18.2925,11.1548
-18.2633,11.1645
-18.2698,11.1677
-18.2471,11.1418
-18.2179,11.171
-18.2081,11.1742
-18.1919,11.1775
-18.1854,11.1872
-18.1627,11.1742
-18.1497,11.1548
-18.1367,11.1937
-18.1237,11.1872
-18.1172,11.2035
-18.101,11.1775
-18.088,11.1872
-18.0783,11.2002
-18.0556,11.2002
-18.0491,11.1872
-18.0393,11.1937
-18.0361,11.2099
-18.0004,11.197
-17.9874,11.2197
-17.9712,11.2035
-17.9679,11.2229
-17.9452,11.2099
-17.9257,11.2229
-17.8997,11.2262
-17.9062,11.2164
-17.8803,11.2294
-17.8738,11.2132
-17.8543,11.2132
-17.8478,11.2359
-17.8186,11.2359
-17.8251,11.2359
-17.8088,11.2197
-17.7699,11.2457
-17.7699,11.2327
-17.7569,11.2586
-17.7472,11.2262
-17.7439,11.2424
-17.7147,11.2489
-17.6952,11.2619
-17.6887,11.2619
-17.6693,11.2619
-17.653,11.2489
-17.64,11.2749
-17.6238,11.2716
-17.6206,11.2684
-17.6011,11.2684
-17.5784,11.2749
-17.5751,11.2781
-17.5654,11.2716
-17.5459,11.2586
-17.5167,11.2976
-17.5167,11.2814
-17.5232,11.2814
-17.481,11.2846
-17.4777,11.3008
-17.4485,11.2846
-17.4485,11.2944
-17.4388,11.2846
-17.4258,11.2944
-17.3933,11.3008
-17.3836,11.2911
-17.3706,11.3236
-17.3673,11.3073
-17.3446,11.3301
-17.3219,11.3106
-17.3122,11.3073
-17.2927,11.3138
-17.2829,11.2976
-17.2602,11.3236
-17.2667,11.3106
-17.257,11.3106
-17.231,11.2911
-17.218,11.3301
-17.1985,11.3236
-17.1888,11.3203
-17.1791,11.3333
-17.1628,11.3203
-17.1369,11.3268
-17.1498,11.3333
-17.1141,11.3366
-17.1012,11.3625
-17.0817,11.3495
-17.0687,11.3528
-17.0525,11.343
-17.046,11.3463
-17.0265,11.3463
-17.0167,11.3528
-17.0038,11.356
-16.9745,11.3593
-16.9551,11.369
-16.9583,11.3528
-16.9323,11.369
-16.9161,11.3593
-16.9096,11.369
-16.8934,11.369
-16.8901,11.369
-16.8642,11.395
-16.8512,11.369
-16.8447,11.3852
-16.8285,11.3723
-16.7992,11.3852
-16.8025,11.3917
-16.7895,11.3788
-16.7635,11.3885
-16.7441,11.3917
-16.7278,11.3885
-16.7083,11.3885
-16.7019,11.3917
-16.7019,11.395
-16.6824,11.395
-16.6726,11.3982
-16.6629,11.395
-16.6369,11.3917
-16.6337,11.4047
-16.6077,11.4047
-16.5947,11.4177
-16.585,11.4047
-16.5688,11.4177
-16.559,11.3982
-16.533,11.421
-16.5168,11.408
-16.5201,11.4177
-16.4908,11.4177
-16.4714,11.4145
-16.4681,11.4145
-16.4454,11.4177
-16.4454,11.4274
-16.4162,11.421
-16.4129,11.4242
-16.3902,11.4274
-16.3642,11.4437
-16.361,11.4404
-16.3545,11.4372
-16.3415,11.4437
-16.3188,11.4242
-16.3253,11.4567
-16.2863,11.4307
-16.2896,11.421
-16.2668,11.4599
-16.2409,11.4534
-16.2376,11.4372
-16.2149,11.4339
-16.2052,11.4599
-16.2052,11.4567
-16.1824,11.4437
-16.1565,11.4437
-16.1435,11.4599
-16.1337,11.4632
-16.1143,11.4534
-16.111,11.4664
-16.0851,11.4632
-16.0818,11.4632
-16.0591,11.4697
-16.0461,11.4826
-16.0169,11.4697
-16.0136,11.4729
-16.0071,11.4826
-15.9844,11.4729
-15.9779,11.4567
-15.9649,11.4761
-15.939,11.4729
-15.926,11.4729
-15.9227,11.4826
-15.9065,11.4794
-15.8838,11.4826
-15.8676,11.4729
-15.8578,11.4794
-15.8383,11.4632
-15.8481,11.4891
-15.8124,11.4956
-15.8091,11.4859
-15.7961,11.4924
-15.7767,11.4924
-15.7637,11.4924
-15.7539,11.5021
-15.7345,11.4989
-15.7345,11.5021
-15.7052,11.4956
-15.6955,11.5086
-15.6825,11.5021
-15.6598,11.4956
-15.6533,11.5183
-15.6338,11.4956
-15.6273,11.5086
-15.6078,11.5119
-15.5851,11.4826
-15.5851,11.5183
-15.5624,11.5021
-15.5462,11.5119
-15.5364,11.5216
-15.517,11.5119
-15.4975,11.5248
-15.4747,11.5151
-15.4845,11.5248
-15.4553,11.5151
-15.4261,11.5216
-15.4196,11.5313
-15.4228,11.5216
-15.4131,11.5151
-15.3741,11.5183
-15.3806,11.5151
-15.3611,11.5183
-15.3449,11.5216
-15.3352,11.5346
-15.3124,11.5313
-15.293,11.5378
-15.2832,11.5313
-15.2767,11.5443
-15.2605,11.5313
-15.241,11.5508
-15.2443,11.5411
-15.2118,11.5443
-15.215,11.5313
-15.1826,11.5378
-15.1631,11.5411
-15.1663,11.5248
-15.1436,11.5411
-15.1209,11.5346
-15.1144,11.5346
-15.0982,11.5541
-15.0917,11.5508
-15.069,11.5508
-15.0625,11.5541
-15.0365,11.5411
-15.03,11.5638
-15.0235,11.5541
-15.0073,11.5605
-14.9813,11.567
-14.9651,11.5638
-14.9488,11.5703
-14.9424,11.5605
-14.9294,11.5573
-14.9131,11.5476
-14.9164,11.5638
-14.8742,11.5573
-14.8937,11.5768
-14.8515,11.5573
-14.8385,11.58
-14.8352,11.5735
-14.8093,11.5768
-14.793,11.5703
-14.7833,11.5573
-14.78,11.567
-14.7671,11.58
-14.7541,11.5865
-14.7313,11.5735
-14.7313,11.5703
-14.6989,11.58
-14.6794,11.5898
-14.6794,11.58
-14.6599,11.5898
-14.6599,11.593
-14.621,11.5735
-14.6307,11.567
-14.6015,11.58
-14.5593,11.5833
-14.5723,11.5865
-14.5593,11.5898
-14.5398,11.593
-14.5366,11.5833
-14.5073,11.5703
-14.5009,11.5833
-14.4911,11.5963
-14.4814,11.5995
-14.4619,11.58
-14.4457,11.5865
-14.4327,11.593
-14.4132,11.593
-14.3937,11.5995
-14.3937,11.593
-14.3645,11.5833
-14.3678,11.5995
-14.3418,11.5833
-14.345,11.5995
-14.3223,11.5995
-14.3061,11.5995
-14.2963,11.5898
-14.2769,11.6028
-14.2509,11.5833
-14.2444,11.5865
-14.2476,11.6028
-14.2184,11.6092
-14.2119,11.6028
-14.186,11.6092
-14.1665,11.6157
-14.1503,11.6092
-14.147,11.6125
-14.147,11.6125
-14.1145,11.6125
-14.1016,11.6125
-14.0951,11.5995
-14.0788,11.6028
-14.0496,11.6157
-14.0561,11.6157
-14.0301,11.5865
-14.0172,11.6092
-14.0042,11.6222
-13.9879,11.6157
-13.9847,11.6255
-13.9717,11.6222
-13.9392,11.606
-13.9392,11.6255
-13.923,11.6287
-13.9003,11.632
-13.8776,11.6157
-13.8711,11.632
-13.8711,11.619
-13.8483,11.6352
-13.8354,11.6287
-13.8191,11.632
-13.7997,11.6157
-13.7997,11.6157
-13.7769,11.619
-13.7574,11.6547
-13.7347,11.6417
-13.738,11.6255
-13.7217,11.6092
-13.7185,11.6255
-13.6763,11.632
-13.6666,11.6287
-13.6471,11.6222
-13.6341,11.6352
-13.6244,11.6287
-13.5951,11.6547
-13.6049,11.6222
-13.5951,11.6385
-13.5757,11.6287
-13.5594,11.6125
-13.5335,11.6222
-13.5237,11.632
-13.5107,11.6255
-13.5042,11.6255
-13.475,11.6352
-13.4718,11.6385
-13.4588,11.6482
-13.4263,11.6157
-13.4296,11.6385
-13.4036,11.6222
-13.3971,11.6514
-13.3776,11.6385
-13.3646,11.6612
-13.3419,11.6417
-13.3387,11.6482
-13.3257,11.6287
-13.3127,11.6514
-13.2965,11.6579
-13.2835,11.6482
-13.2737,11.6547
-13.251,11.6417
-13.2186,11.6514
-13.2283,11.6482
-13.2056,11.6417
-13.2023,11.6514
-13.1796,11.6482
-13.1666,11.6287
-13.1504,11.6482
-13.1277,11.632
-13.1342,11.6514
-13.1114,11.6385
-13.0855,11.6482
-13.0757,11.6482
-13.0627,11.6385
-13.0433,11.6417
-13.027,11.6482
-13.027,11.6482
-13.0011,11.6417
-12.9913,11.6547
-12.9653,11.6709
-12.9621,11.6482
-12.9524,11.6514
-12.9361,11.6547
-12.9231,11.6417
-12.9069,11.645
-12.8972,11.6547
-12.8842,11.6579
-12.868,11.645
-12.8452,11.6579
-12.8355,11.6644
-12.829,11.6482
-12.8128,11.6514
-12.7965,11.6482
-12.7965,11.6612
-12.7641,11.6579
-12.7576,11.6612
-12.7349,11.6644
-12.7089,11.6482
-12.6992,11.6579
-12.6894,11.6612
-12.6829,11.6579
-12.6634,11.645
-12.6537,11.6547
-12.6342,11.6547
-12.6212,11.6482
-12.5985,11.6482
-12.5888,11.6579
-12.579,11.6579
-12.5596,11.6742
-12.5466,11.6677
-12.5466,11.6677
-12.5076,11.6709
-12.5174,11.6482
-12.4946,11.6547
-12.4946,11.6482
-12.4622,11.6644
-12.4492,11.6579
-12.4362,11.6514
-12.4167,11.645
-12.4005,11.6547
-12.394,11.6709
-12.3875,11.6677
-12.3745,11.6612
-12.3388,11.6514
-12.3388,11.645
-12.3226,11.6579
-12.3031,11.6547
-12.2934,11.6644
-12.2804,11.6742
-12.2641,11.6547
-12.2479,11.6644
-12.2349,11.6644
-12.2317,11.6677
-12.2122,11.6547
-12.1927,11.6482
-12.1862,11.6579
-12.1635,11.6579
-12.1505,11.6644
-12.1408,11.6547
-12.1083,11.6807
-12.1181,11.6677
-12.1051,11.6579
-12.0791,11.6579
-12.0661,11.6482
-12.0564,11.6482
-12.0304,11.6644
-12.0142,11.6709
-11.9979,11.6579
-11.9882,11.6677
-11.9785,11.6579
-11.9655,11.6579
-11.9493,11.6644
-11.9265,11.6644
-11.9103,11.6742
-11.9038,11.6644
-11.8941,11.645
-11.8648,11.6644
-11.8454,11.6612
-11.8454,11.6612
-11.8356,11.6514
-11.8162,11.6612
-11.7967,11.6482
-11.7869,11.7066
-11.7902,11.6579
-11.7512,11.6644
-11.7415,11.645
-11.7318,11.6612
-11.6993,11.6612
-11.7058,11.6482
-11.6863,11.6644
-11.6766,11.6709
-11.6506,11.6644
-11.6473,11.645
-11.6441,11.6742
-11.6116,11.6579
-11.5954,11.6612
-11.5954,11.6677
-11.5727,11.6612
-11.5629,11.6417
-11.537,11.6644
-11.5337,11.645
-11.524,11.6514
-11.5013,11.645
-11.4883,11.6644
-11.4785,11.6514
-11.4493,11.6514
-11.4428,11.645
-11.4331,11.6644
-11.4136,11.6612
-11.3974,11.6677
-11.3844,11.6579
-11.3682,11.6547
-11.3617,11.6482
-11.3487,11.6514
-11.3389,11.6385
-11.313,11.645
-11.2967,11.6417
-11.2838,11.6385
-11.274,11.645
-11.261,11.632
-11.2383,11.6579
-11.2188,11.6287
-11.2188,11.645
-11.1864,11.6482
-11.1864,11.6287
-11.1864,11.6482
-11.1539,11.6482
-11.1539,11.6514
-11.1344,11.6482
-11.1279,11.632
-11.089,11.6417
-11.0825,11.6352
-11.076,11.632
-11.0533,11.6417
-11.0273,11.6417
-11.037,11.6222
-11.0241,11.6255
-11.0078,11.6352
-10.9819,11.6092
-10.9883,11.6385
-10.9689,11.6222
-10.9624,11.6287
-10.9299,11.6255
-10.9267,11.6385
-10.891,11.6255
-10.8942,11.619
-10.8715,11.619
-10.8552,11.6157
-10.8358,11.6222
-10.8098,11.6125
-10.8163,11.6255
-10.8001,11.5995
-10.7806,11.6255
-10.7806,11.5963
-10.7871,11.6028
-10.7514,11.5865
-10.7384,11.5963
-10.7157,11.58
-10.6994,11.58
-10.6962,11.5995
-10.6702,11.5865
-10.6475,11.5963
-10.6767,11.5865
-10.6377,11.5703
-10.6215,11.5735
-10.6085,11.5898
-10.5923,11.5768
-10.5793,11.5573
-10.5728,11.5768
-10.5501,11.5605
-10.5371,11.5638
-10.5144,11.5605
-10.5046,11.5605
-10.4884,11.5508
-10.4949,11.5476
-10.4722,11.5378
-10.443,11.5346
-10.43,11.5508
-10.4137,11.5151
-10.3975,11.5248
-10.391,11.5183
-10.3845,11.5216
-10.3553,11.5183
-10.3358,11.5054
-10.3293,11.5151
-10.3229,11.5021
-10.3099,11.5054
-10.3034,11.4729
-10.2742,11.4826
-10.2677,11.4664
-10.2547,11.4729
-10.2287,11.4664
-10.2352,11.4502
-10.1995,11.4404
-10.193,11.4404
-10.1735,11.4404
-10.1605,11.4339
-10.1476,11.4145
-10.1378,11.408
-10.1118,11.4047
-10.1053,11.3917
-10.0794,11.3982
-10.0664,11.4015
-10.0631,11.3723
-10.0567,11.3723
-10.0372,11.343
-10.0209,11.3203
-10.0242,11.3333
-9.9755,11.3041
-9.9917,11.3073
-9.9593,11.3008
-9.9463,11.2911
-9.9333,11.2749
-9.9041,11.2392
-9.9008,11.2489
-9.8943,11.2197
-9.8586,11.2132
-9.8684,11.184
-9.8424,11.1775
-9.8392,11.1645
-9.8132,11.1515
-9.8164,11.1288
-9.7807,11.1061
-9.7872,11.0898
-9.7483,11.0704
-9.7483,11.0509
-9.7353,11.0087
-9.7028,10.9957
-9.7028,10.9762
-9.6931,10.9373
-9.6671,10.9113
-9.6574,10.9048
-9.6476,10.8756
-9.6184,10.8464
-9.6346,10.8204
-9.5924,10.7944
-9.5892,10.7587
-9.5697,10.7035
-9.5697,10.6808
-9.547,10.6126
-9.5372,10.5964
-9.521,10.5282
-9.5048,10.4925
-9.4788,10.4146
-9.4885,10.3334
-9.4528,10.262
-9.4528,9.9926
